model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gemma-4-31b,0,0,no-contract,7.4,0.6167,221.4,0.7413,0.9713,0.5967,4.2,10.6,0.35,0.8833,164.945,277.865,0.5625,0.928,0.9436,0.9921,3.1999999999999997,0.26665,56.46000000000001,0.18275000000000002,0.024249999999999994,0.24334999999999998,4,6,2,10
gemma-4-31b,1,0,no-contract,9.0,0.75,244.6,0.6476,0.8917,0.4033,5.8,12.0,0.4833,1.0,177.545,323.2,0.4855,0.7882,0.7928,0.9647,3.1,0.25834999999999997,72.8275,0.15135,0.08595000000000003,0.20835,6,4,2,10
gemma-4-31b,2,0,no-contract,12.0,1.0,333.2,0.6075,0.8666,0.3,12.0,12.0,1.0,1.0,262.6,376.4,0.4887,0.6926,0.8112,0.9169,0.0,0.0,56.89999999999998,0.10194999999999999,0.05285000000000001,0.125,10,0,2,10
gemma-4-31b,3,0,no-contract,12.0,1.0,291.0,0.5309,0.9296,0.2167,12.0,12.0,1.0,1.0,258.6,318.6,0.4731,0.5674,0.8874,0.9719,0.0,0.0,30.0,0.04715,0.04225000000000001,0.13335,10,0,2,10
gemma-4-31b,4,0,no-contract,12.0,1.0,295.4,0.5344,0.8689,0.2833,12.0,12.0,1.0,1.0,233.4,381.6,0.4252,0.6714,0.8223,0.9164,0.0,0.0,74.10000000000001,0.12309999999999999,0.04704999999999998,0.06664999999999999,10,0,2,10
gemma-4-31b,5,0,no-contract,12.0,1.0,315.2,0.5718,0.9776,0.25,12.0,12.0,1.0,1.0,245.77,390.4,0.4435,0.6878,0.9612,0.994,0.0,0.0,72.31499999999998,0.12214999999999998,0.01639999999999997,0.10835000000000002,10,0,2,10
gemma-4-31b-it,0,2,code-law,12.0,1.0,317.2,0.579,0.9932,0.1,12.0,12.0,1.0,1.0,291.4,347.8,0.5338,0.6265,0.9882,0.9984,0.0,0.0,28.200000000000017,0.04634999999999995,0.005099999999999993,0.075,10,0,2,10
gemma-4-31b-it,0,2,nl,12.0,1.0,368.2,0.66,0.9,0.3667,12.0,12.0,1.0,1.0,271.2,465.2,0.5071,0.7993,0.8448,0.9537,0.0,0.0,97.0,0.1461,0.05445,0.09165000000000001,10,0,2,10
gemma-4-31b-it,1,2,code-law,12.0,1.0,349.6,0.6408,0.9911,0.15,12.0,12.0,1.0,1.0,320.6,378.6,0.5707,0.7288,0.9853,0.9972,0.0,0.0,29.0,0.07905000000000001,0.005950000000000011,0.05,10,0,2,10
gemma-4-31b-it,1,2,nl,12.0,1.0,422.2,0.7705,0.8811,0.4833,12.0,12.0,1.0,1.0,382.4,461.23,0.7056,0.8366,0.8238,0.9341,0.0,0.0,39.41500000000002,0.0655,0.05515000000000003,0.05835000000000001,10,0,2,10
