model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gemma-4-31b,0,0,no-contract,8.040000000000001,0.6700200000000001,305.8,0.91558,0.9542200000000001,0.46202000000000004,4.84,11.16,0.40332,0.9299799999999999,213.527,399.919,0.8242799999999999,1.0,0.9083600000000001,0.9936999999999999,3.1599999999999997,0.26332999999999995,93.196,0.08786000000000001,0.042669999999999986,0.26200999999999997,12,13,5,25
gemma-4-31b,0,1,nl,10.2,0.85,254.2,0.701,0.9388,0.3833,6.6,12.0,0.55,1.0,176.36,326.845,0.5183,0.8806,0.8975,0.9797,2.7,0.22499999999999998,75.2425,0.18115000000000003,0.041100000000000025,0.2917,8,2,2,10
gemma-4-31b,0,2,code-law,12.0,1.0,249.8,0.4758,0.997,0.1,12.0,12.0,1.0,1.0,179.6,320.0,0.3354,0.642,0.9935,1.0,0.0,0.0,70.2,0.15330000000000002,0.003249999999999975,0.025,10,0,2,10
gemma-4-31b,1,0,no-contract,10.5,0.875,370.8,0.87295,0.88975,0.3433,8.9,12.0,0.74165,1.0,314.47249999999997,432.9,0.78325,0.955875,0.804,0.96255,1.55,0.12917499999999998,59.21375000000001,0.08631250000000001,0.07927500000000001,0.19167499999999998,16,4,4,20
gemma-4-31b,1,1,nl,12.0,1.0,398.6,0.8449,0.9301,0.4,12.0,12.0,1.0,1.0,366.0,434.8,0.754,0.9303,0.882,0.974,0.0,0.0,34.400000000000006,0.08815,0.045999999999999985,0.175,10,0,2,10
gemma-4-31b,1,2,code-law,12.0,1.0,311.0,0.5792,0.9911,0.0667,12.0,12.0,1.0,1.0,275.0,347.0,0.4991,0.6449,0.9822,1.0,0.0,0.0,36.0,0.07290000000000002,0.008900000000000019,0.024999999999999998,10,0,2,10
gemma-4-31b,2,0,no-contract,12.0,1.0,399.29999999999995,0.7856,0.8826,0.25834999999999997,12.0,12.0,1.0,1.0,308.70000000000005,476.2,0.628475,0.9328000000000001,0.8194,0.94325,0.0,0.0,83.74999999999999,0.15216249999999998,0.06192500000000001,0.15000000000000002,20,0,4,20
gemma-4-31b,2,1,nl,12.0,1.0,422.6,0.9433,0.9769,0.4167,12.0,12.0,1.0,1.0,389.0,460.4,0.8556,1.0,0.9703,0.9852,0.0,0.0,35.69999999999999,0.07219999999999999,0.007449999999999957,0.1667,10,0,2,10
gemma-4-31b,2,2,code-law,12.0,1.0,225.2,0.4246,0.9955,0.0667,12.0,12.0,1.0,1.0,160.4,290.8,0.2925,0.5585,0.9905,1.0,0.0,0.0,65.2,0.133,0.0047499999999999765,0.024999999999999998,10,0,2,10
gemma-4-31b,3,0,no-contract,12.0,1.0,397.5,0.8116,0.8896999999999999,0.25834999999999997,12.0,12.0,1.0,1.0,346.1,446.5,0.712675,0.927325,0.81125,0.96825,0.0,0.0,50.19999999999999,0.10732500000000002,0.07850000000000001,0.17502500000000001,20,0,4,20
