model_version,best_score,num_benchmarks
gemini-3-flash-preview,0.5353194225996994,6
deepseek-reasoner,0.5318524531024531,4
gpt-5.2-2025-12-11_xhigh,0.5546666666666666,6
Qwen3-235B-A22B-Thinking-2507,0.5726556751928925,4
openai/gpt-oss-120b_high,0.4963661616161616,4
gpt-5.2-2025-12-11_high,0.5290561941251596,6
gpt-5.2-2025-12-11_medium,0.5144126030419134,6
gpt-5.2-2025-12-11_low,0.4201543887147335,6
claude-opus-4-5-20251101_16K,0.4739365639150121,4
claude-opus-4-5-20251101_32K,0.418025687913619,6
claude-opus-4-5-20251101,0.3839842389411354,4
gemini-3-pro-preview,0.5737542087542088,6
gpt-5.1-2025-11-13_medium,0.5041416318355973,4
gemini-2.5-pro,0.4405287066062928,6
gpt-5.1-2025-11-13_high,0.5011197608266574,6
kimi-k2-thinking-turbo,0.5471818181818182,4
gpt-5-nano-2025-08-07_high,0.443222050522238,6
gpt-5-mini-2025-08-07_high,0.5365792542874009,7
gpt-5-2025-08-07_high,0.5831536986702108,7
claude-sonnet-4-5-20250929_16K,0.7494949494949494,2
claude-sonnet-4-5-20250929_59K,0.4929895494739785,4
gpt-4-0314,0.1814393939393939,2
claude-haiku-4-5-20251001_32K,0.4135429640733848,6
claude-sonnet-4-5-20250929_32K,0.4810489753948948,6
claude-haiku-4-5-20251001,0.4959314298311797,5
qwen3-max-2025-09-23,0.6290634405347396,5
claude-sonnet-4-5-20250929,0.3308110124230813,6
gpt-5-mini-2025-08-07_medium,0.5484814970028794,6
gpt-5-2025-08-07_medium,0.6046501626852966,6
gpt-5-nano-2025-08-07_medium,0.4923146271549751,5
claude-opus-4-1-20250805_27K,0.3837292232671542,5
claude-opus-4-1-20250805_16K,0.7085858585858587,2
claude-opus-4-1-20250805,0.4557359804946012,4
magistral-small-2506,0.3921085858585859,2
gemini-2.5-pro-preview-06-05,0.3242554858934169,3
qwen3-235b-a22b,0.6978203485001068,2
gemini-2.5-pro-preview-05-06,0.8128461732124873,2
DeepSeek-R1-0528,0.6000403046808928,5
claude-3-7-sonnet-20250219_64K,0.579448041331115,4
grok-3-mini-beta_high,0.5366227250102862,5
DeepSeek-R1,0.7270062152237379,3
claude-sonnet-4-20250514_59K,0.7403835307388607,2
grok-3-beta,0.4374207638772698,6
claude-sonnet-4-20250514_32K,0.7469696969696971,2
claude-opus-4-20250514_16K,0.6813131313131313,2
claude-sonnet-4-20250514_16K,0.6454545454545455,2
claude-sonnet-4-20250514,0.407765075837375,6
claude-opus-4-20250514,0.4385703620922914,6
mistral-medium-2505,0.4343217869270697,4
o4-mini-2025-04-16_high,0.4858305551158453,7
o3-2025-04-16_high,0.5620790474515556,6
gpt-4.1-mini-2025-04-14,0.470286473022758,5
gpt-4.1-nano-2025-04-14,0.3721159072230798,4
gpt-4.1-2025-04-14,0.3912930148798468,6
qwq-plus,0.6540404040404041,1
grok-3-mini-beta_low,0.4947600501314847,5
Llama-4-Scout-17B-16E-Instruct,0.304704999389667,4
Llama-4-Maverick-17B-128E-Instruct-FP8,0.4031122639037526,4
qwen-turbo-2024-11-01,0.347117194096046,3
qwen-plus-2025-01-25,0.4371983938071551,3
qwen-max-2025-01-25,0.3511302767491562,4
DeepSeek-V3-0324,0.6031299907432838,3
gemini-2.5-pro-exp-03-25,0.8383838383838383,1
mistral-small-2503,0.3335974294811152,3
gemma-3-27b-it,0.4754095588310089,3
claude-3-5-haiku-20241022,0.1916748729086889,5
gemini-1.5-flash-8b-001,0.1876893939393938,2
DeepSeek-R1-Distill-Qwen-14B,0.6590966309621898,2
claude-3-7-sonnet-20250219_32K,0.558948743608604,4
DeepSeek-R1-Distill-Llama-70B,0.6567729154587161,3
gpt-4.5-preview-2025-02-27,0.6169667470271699,3
gpt-4-turbo-2024-04-09,0.3333031981445878,3
claude-3-7-sonnet-20250219_16K,0.5345651272596788,4
mistral-large-2411,0.2743289889203525,4
claude-3-7-sonnet-20250219,0.4229335619977249,5
