model_name,math_rank,math_score
GPT-4o-mini,160,75.0
gpt-4o-mini,160,75.0
gpt-4o-mini-2024-07-18,160,75.0
Claude-Sonnet-4.5,21,90.0
claude-sonnet-4.5,21,90.0
Gemini-3-Flash,2,84.0
gemini-3-flash,2,84.0
gemini-3-flash-preview,2,84.0
Llama-3.2-3B,230,45.0
llama-3.2-3b,230,45.0
llama-3.2-3b-instruct,230,45.0
Llama-3.3-70B,139,80.0
llama-3.3-70b,139,80.0
llama-3.3-70b-instruct,139,80.0
GPT-5-Mini,43,83.0
gpt-5-mini,43,83.0
gpt-5-mini-2025-08-07,43,83.0
GPT-5-Nano,104,81.0
gpt-5-nano,104,81.0
gpt-5-nano-2025-08-07,104,81.0
Qwen3-30B,100,79.0
qwen3-30b,100,79.0
qwen3-30b-a3b,100,79.0
DeepSeek-R1,25,92.0
deepseek-r1,25,92.0
Grok-3,9,77.0
grok-3,9,77.0
