id,source,rating,Ev_ID,formal_game
bad_370,bad,bad,,Stag hunt
bad_334,bad,bad,,Stag hunt
bad_517,bad,good,,Matching pennies
good_1466,good,good,15.02.07,Chicken
good_1609,good,good,15.01.08,Prisoner's Dilemma
good_1005,good,good,,Coordination
good_1818,good,bad,,Chicken
bad_73,bad,bad,,Chicken
good_1945,good,good,19.05.02,Prisoner's Dilemma
good_1755,good,good,,Matching pennies
good_354,good,good,23.11.00,Prisoner's Dilemma
good_100,good,good,,Prisoner's Dilemma
bad_148,bad,bad,08.05.00,Stag hunt
good_251,good,good,43.01.04,Prisoner's Dilemma
bad_184,bad,bad,22.01.00,Stag hunt
good_56,good,bad,,Chicken
bad_180,bad,bad,20.01.03,Stag hunt
bad_90,bad,bad,,Bach or Stravinski
good_532,good,good,24.04.04,Prisoner's Dilemma
good_1963,good,good,54.03.01,Bach or Stravinski
bad_82,bad,good,17.01.02,Bach or Stravinski
bad_9,bad,good,34.01.04,Prisoner's Dilemma
good_1057,good,bad,39.17.00,Stag hunt
good_408,good,good,19.02.02,Matching pennies
bad_422,bad,good,30.05.01,Coordination
good_1676,good,good,19.02.04,Prisoner's Dilemma
good_2155,good,bad,,Stag hunt
bad_238,bad,bad,41.03.01,Stag hunt
good_2074,good,good,33.02.02,Prisoner's Dilemma
bad_104,bad,bad,,Bach or Stravinski
good_179,good,good,,Chicken
good_629,good,good,23.05.03,Chicken
bad_75,bad,bad,,Chicken
good_1179,good,good,34.02.04,Chicken
bad_204,bad,bad,24.05.02,Stag hunt
good_1556,good,bad,,Coordination
bad_2,bad,good,14.07.00,Prisoner's Dilemma
bad_468,bad,bad,,Coordination
good_2256,good,good,43.01.02,Prisoner's Dilemma
good_1455,good,good,02.07.00,Matching pennies
good_507,good,good,,Chicken
good_1617,good,good,05.12.00,Bach or Stravinski
good_1657,good,good,14.01.00,Matching pennies
bad_509,bad,good,54.05.00,Matching pennies
good_368,good,good,49.03.01,Chicken
good_1876,good,good,21.02.02,Chicken
bad_55,bad,bad,,Chicken
good_1740,good,good,49.01.02,Chicken
bad_77,bad,bad,,Chicken
good_755,good,good,,Prisoner's Dilemma
good_1041,good,good,43.01.03,Chicken
good_420,good,good,45.02.11,Stag hunt
good_1859,good,good,02.06.02,Chicken
good_544,good,bad,,Coordination
good_111,good,good,56.10.00,Matching pennies
bad_195,bad,good,23.07.02,Stag hunt
good_845,good,bad,,Stag hunt
bad_318,bad,bad,,Stag hunt
good_772,good,good,23.03.04,Chicken
bad_222,bad,good,33.01.03,Stag hunt
bad_225,bad,bad,33.02.04,Stag hunt
bad_79,bad,bad,13.02.00,Bach or Stravinski
bad_322,bad,good,,Stag hunt
good_756,good,good,19.05.04,Stag hunt
bad_140,bad,bad,04.05.00,Stag hunt
bad_158,bad,bad,15.01.01,Stag hunt
good_1748,good,good,,Prisoner's Dilemma
bad_257,bad,bad,46.02.00,Stag hunt
bad_528,bad,good,,Matching pennies
bad_301,bad,bad,,Stag hunt
bad_227,bad,good,33.04.02,Stag hunt
good_1827,good,good,,Prisoner's Dilemma
bad_522,bad,good,,Matching pennies
good_2071,good,good,,Matching pennies
bad_132,bad,bad,02.11.02,Stag hunt
bad_495,bad,bad,31.03.03,Matching pennies
bad_518,bad,good,,Matching pennies
good_1580,good,good,18.03.01,Prisoner's Dilemma
bad_374,bad,bad,,Stag hunt
bad_101,bad,bad,,Bach or Stravinski
bad_299,bad,bad,,Stag hunt
bad_30,bad,good,,Prisoner's Dilemma
good_1349,good,good,,Prisoner's Dilemma
good_1228,good,good,26.06.00,Coordination
good_1281,good,good,,Stag hunt
bad_6,bad,bad,23.06.01,Prisoner's Dilemma
good_1386,good,good,45.01.05,Stag hunt
good_350,good,good,55.04.05,Stag hunt
good_1472,good,good,,Chicken
bad_70,bad,bad,,Chicken
bad_455,bad,bad,,Coordination
bad_335,bad,good,,Stag hunt
bad_464,bad,bad,,Coordination
bad_505,bad,good,53.02.02,Matching pennies
good_1607,good,good,42.14.00,Stag hunt
bad_10,bad,good,50.01.00,Prisoner's Dilemma
bad_486,bad,good,04.01.00,Matching pennies
good_1546,good,good,45.02.02,Prisoner's Dilemma
bad_289,bad,bad,58.03.03,Stag hunt
bad_397,bad,good,16.04.00,Coordination
