model_display,contract_mode,prompt_mode,nash_accuracy,utilitarian_accuracy,rawlsian_accuracy,cooperation_rate,avg_utilitarian_payoff,avg_rawlsian_payoff
GPT-4o,code_law,base,0.013 ± 0.051,0.860 ± 0.183,0.860 ± 0.183,1.0 ± 0.1,62.3 ± 39.3,30.0 ± 19.6
GPT-4o,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.0 ± 38.6,33.0 ± 19.3
GPT-4o,code_law,selfish,0.407 ± 0.334,0.007 ± 0.037,0.007 ± 0.037,0.1 ± 0.2,-30.5 ± 36.4,-21.8 ± 21.4
GPT-4o,code_nl,base,0.007 ± 0.037,0.927 ± 0.207,0.927 ± 0.207,1.0 ± 0.1,64.3 ± 39.5,31.1 ± 20.3
GPT-4o,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
GPT-4o,code_nl,selfish,0.427 ± 0.374,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-31.0 ± 35.9,-18.0 ± 19.5
GPT-4o,no_comm,base,0.100 ± 0.239,0.440 ± 0.342,0.440 ± 0.342,0.9 ± 0.3,40.3 ± 40.5,6.6 ± 26.7
GPT-4o,no_comm,cooperative,0.000 ± 0.000,0.987 ± 0.073,0.987 ± 0.073,1.0 ± 0.0,64.5 ± 38.6,31.0 ± 21.2
GPT-4o,no_comm,selfish,0.660 ± 0.379,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-26.8 ± 31.7,-14.9 ± 16.4
GPT-5.4,code_law,base,0.000 ± 0.000,0.880 ± 0.171,0.880 ± 0.171,1.0 ± 0.0,65.6 ± 38.5,31.6 ± 18.7
GPT-5.4,code_law,cooperative,0.000 ± 0.000,0.993 ± 0.037,0.993 ± 0.037,1.0 ± 0.0,66.0 ± 38.7,32.9 ± 19.3
