model_display,contract_mode,prompt_mode,nash_accuracy,utilitarian_accuracy,rawlsian_accuracy,cooperation_rate,avg_utilitarian_payoff,avg_rawlsian_payoff
GPT-4o,code_law,base,0.207 ± 0.280,0.733 ± 0.299,0.733 ± 0.299,1.0 ± 0.2,267.0 ± 160.4,124.9 ± 76.4
GPT-4o,code_law,cooperative,0.047 ± 0.155,0.953 ± 0.155,0.953 ± 0.155,1.0 ± 0.1,282.7 ± 169.9,141.1 ± 85.0
GPT-4o,code_law,selfish,0.033 ± 0.076,0.000 ± 0.000,0.000 ± 0.000,1.0 ± 0.1,183.3 ± 124.5,82.1 ± 61.2
GPT-4o,code_nl,base,0.080 ± 0.201,0.893 ± 0.215,0.893 ± 0.215,0.9 ± 0.2,268.2 ± 161.0,132.8 ± 80.8
GPT-4o,code_nl,cooperative,0.027 ± 0.146,0.973 ± 0.146,0.973 ± 0.146,1.0 ± 0.1,284.0 ± 169.3,142.0 ± 84.7
GPT-4o,code_nl,selfish,0.007 ± 0.037,0.000 ± 0.000,0.000 ± 0.000,1.0 ± 0.1,183.3 ± 114.5,82.3 ± 55.1
GPT-4o,no_comm,base,0.353 ± 0.296,0.347 ± 0.310,0.347 ± 0.310,1.0 ± 0.1,235.4 ± 142.0,102.7 ± 65.5
GPT-4o,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
GPT-4o,no_comm,selfish,0.013 ± 0.073,0.000 ± 0.000,0.000 ± 0.000,1.0 ± 0.1,185.9 ± 126.0,84.1 ± 66.0
GPT-5.4,code_law,base,0.160 ± 0.185,0.827 ± 0.195,0.827 ± 0.195,1.0 ± 0.1,279.5 ± 167.4,135.9 ± 81.9
GPT-5.4,code_law,cooperative,0.013 ± 0.073,0.987 ± 0.073,0.987 ± 0.073,1.0 ± 0.1,284.7 ± 167.9,142.3 ± 84.0
GPT-5.4,code_law,selfish,0.533 ± 0.206,0.220 ± 0.177,0.220 ± 0.177,1.0 ± 0.1,260.4 ± 156.7,116.0 ± 70.8
GPT-5.4,code_nl,base,0.033 ± 0.076,0.960 ± 0.097,0.960 ± 0.097,1.0 ± 0.0,285.3 ± 166.6,141.7 ± 82.8
GPT-5.4,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
GPT-5.4,code_nl,selfish,0.340 ± 0.242,0.033 ± 0.076,0.033 ± 0.076,1.0 ± 0.0,227.7 ± 134.6,103.1 ± 61.8
GPT-5.4,no_comm,base,0.713 ± 0.271,0.027 ± 0.087,0.027 ± 0.087,0.3 ± 0.3,66.9 ± 77.3,20.6 ± 41.1
GPT-5.4,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
GPT-5.4,no_comm,selfish,0.467 ± 0.342,0.087 ± 0.136,0.087 ± 0.136,0.5 ± 0.3,102.2 ± 91.0,31.4 ± 43.7
GPT-5.4 Mini,code_law,base,0.260 ± 0.253,0.720 ± 0.250,0.720 ± 0.250,1.0 ± 0.1,274.6 ± 163.1,130.3 ± 77.4
GPT-5.4 Mini,code_law,cooperative,0.053 ± 0.181,0.947 ± 0.181,0.947 ± 0.181,0.9 ± 0.2,272.9 ± 166.0,136.4 ± 83.0
GPT-5.4 Mini,code_law,selfish,0.460 ± 0.242,0.233 ± 0.183,0.233 ± 0.183,0.9 ± 0.2,244.4 ± 152.6,109.8 ± 69.3
GPT-5.4 Mini,code_nl,base,0.040 ± 0.110,0.947 ± 0.138,0.947 ± 0.138,1.0 ± 0.1,281.2 ± 165.7,140.2 ± 83.3
GPT-5.4 Mini,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
GPT-5.4 Mini,code_nl,selfish,0.340 ± 0.211,0.493 ± 0.286,0.493 ± 0.286,1.0 ± 0.1,263.1 ± 152.2,121.5 ± 71.0
GPT-5.4 Mini,no_comm,base,0.347 ± 0.356,0.233 ± 0.263,0.233 ± 0.263,0.7 ± 0.4,131.7 ± 102.5,46.1 ± 54.6
GPT-5.4 Mini,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
GPT-5.4 Mini,no_comm,selfish,0.433 ± 0.211,0.080 ± 0.124,0.080 ± 0.124,0.7 ± 0.2,129.9 ± 90.2,36.2 ± 45.3
Gemma 4 31B,code_law,base,0.027 ± 0.069,0.967 ± 0.076,0.967 ± 0.076,1.0 ± 0.0,284.2 ± 164.8,140.8 ± 81.2
Gemma 4 31B,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
Gemma 4 31B,code_law,selfish,0.320 ± 0.194,0.527 ± 0.238,0.527 ± 0.238,1.0 ± 0.0,270.0 ± 159.1,126.5 ± 74.8
Gemma 4 31B,code_nl,base,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
Gemma 4 31B,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
Gemma 4 31B,code_nl,selfish,0.520 ± 0.255,0.187 ± 0.203,0.187 ± 0.203,1.0 ± 0.0,257.8 ± 151.9,116.2 ± 70.2
Gemma 4 31B,no_comm,base,0.067 ± 0.109,0.773 ± 0.250,0.773 ± 0.250,1.0 ± 0.1,254.5 ± 149.7,118.2 ± 71.8
Gemma 4 31B,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
Gemma 4 31B,no_comm,selfish,0.287 ± 0.208,0.567 ± 0.263,0.567 ± 0.263,1.0 ± 0.1,258.0 ± 154.1,116.8 ± 71.2
Grok 4.1 Fast,code_law,base,0.100 ± 0.136,0.873 ± 0.162,0.873 ± 0.162,1.0 ± 0.0,274.0 ± 162.8,134.4 ± 80.2
Grok 4.1 Fast,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,283.3 ± 169.5,141.6 ± 84.7
Grok 4.1 Fast,code_law,selfish,0.253 ± 0.166,0.627 ± 0.215,0.627 ± 0.215,1.0 ± 0.0,272.5 ± 164.2,129.6 ± 78.2
Grok 4.1 Fast,code_nl,base,0.080 ± 0.124,0.920 ± 0.124,0.920 ± 0.124,1.0 ± 0.0,285.1 ± 166.1,140.5 ± 81.9
Grok 4.1 Fast,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
Grok 4.1 Fast,code_nl,selfish,0.447 ± 0.266,0.120 ± 0.135,0.120 ± 0.135,1.0 ± 0.0,242.5 ± 139.9,106.6 ± 61.4
Grok 4.1 Fast,no_comm,base,0.673 ± 0.270,0.027 ± 0.069,0.027 ± 0.069,0.4 ± 0.3,73.9 ± 84.8,21.4 ± 42.8
Grok 4.1 Fast,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,285.9 ± 166.6,143.0 ± 83.3
Grok 4.1 Fast,no_comm,selfish,0.513 ± 0.314,0.020 ± 0.081,0.020 ± 0.081,0.5 ± 0.3,88.5 ± 89.3,16.0 ± 49.1
