model,lambda,beta
Gemma 4 31B,0.0,5.981376518218623
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,6.464777327935222
Gemma 4 31B,0.08097165991902833,8.264102564102563
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,8.93549257759784
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,5.551686909581646
Gemma 4 31B,0.0,7.9955465587044525
Gemma 4 31B,0.0,7.753846153846153
Gemma 4 31B,0.0,10.143994601889338
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,8.317813765182185
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,6.223076923076922
Gemma 4 31B,0.0,9.633738191632927
Gemma 4 31B,0.0,9.230904183535761
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,5.981376518218623
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,7.001889338731443
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,11.325641025641024
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,9.016059379217273
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,6.975033738191632
Gemma 4 31B,0.0,11.674763832658568
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,10.143994601889338
Gemma 4 31B,0.0,8.264102564102563
Gemma 4 31B,0.0,6.223076923076922
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,9.44574898785425
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.053981106612685556,8.45209176788124
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,10.654251012145748
Gemma 4 31B,0.0,6.384210526315789
