model,game,three_way,p,slope_2x2,slope_4x4
GPT-4o,PD,0.19999999999999996,0.5282,0.19999999999999996,0.0
GPT-4o,Stag Hunt,0.19999999999999996,0.5282,0.19999999999999996,0.0
GPT-5.4,PD,0.6,0.5282,1.0,0.4
GPT-5.4,Stag Hunt,0.8,0.5282,1.0,0.19999999999999996
GPT-5.4 Mini,PD,0.6,0.5282,1.0,0.4
GPT-5.4 Mini,Stag Hunt,0.8,0.5282,1.0,0.19999999999999996
Gemma 4 31B,PD,0.4,0.5282,1.0,0.6
Gemma 4 31B,Stag Hunt,1.0,0.4328,1.0,0.0
Grok 4.1 Fast,PD,0.4,0.5282,1.0,0.6
Grok 4.1 Fast,Stag Hunt,0.4,0.5282,1.0,0.6
